whichBlock,practice,numberReps,taskNameSource,taskTextSource,cueReminderTextSource,whichFace,whichCue,center,surround,rotCenter,rotSurround,blueCenter,blueSurround,ethnicity,male,identity,scramFace,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,cueLoop.thisRepN,cueLoop.thisTrialN,cueLoop.thisN,cueLoop.thisIndex,stimLoop.thisRepN,stimLoop.thisTrialN,stimLoop.thisN,stimLoop.thisIndex,begin_text1.started,begin_text1.stopped,pracImage_center.started,pracImage_center.stopped,pracImage_top.started,pracImage_top.stopped,pracImage_right.started,pracImage_right.stopped,pracImage_bottom.started,pracImage_bottom.stopped,pracImage_left.started,pracImage_left.stopped,begin_keyResp.keys,begin_keyResp.rt,begin_keyResp.started,begin_keyResp.stopped,begin_text2.started,begin_text2.stopped,begin_text1_4.started,begin_text1_4.stopped,pracImage_center_2.started,pracImage_center_2.stopped,pracImage_top_2.started,pracImage_top_2.stopped,pracImage_right_2.started,pracImage_right_2.stopped,pracImage_bottom_2.started,pracImage_bottom_2.stopped,pracImage_left_2.started,pracImage_left_2.stopped,begin_keyResp_4.keys,begin_keyResp_4.rt,begin_keyResp_4.started,begin_keyResp_4.stopped,begin_text2_4.started,begin_text2_4.stopped,begin_text1_3a.started,begin_text1_3a.stopped,begin_text2_3a.started,begin_text2_3a.stopped,begin_keyResp_3a.keys,begin_keyResp_3a.rt,begin_keyResp_3a.started,begin_keyResp_3a.stopped,taskName.started,taskName.stopped,task_Text.started,task_Text.stopped,leftKey_text.started,leftKey_text.stopped,rightKey_text.started,rightKey_text.stopped,task_text5.started,task_text5.stopped,LeftReminder_text.started,LeftReminder_text.stopped,rightReminder_text.started,rightReminder_text.stopped,pracOrMain_keyResp.keys,pracOrMain_keyResp.rt,pracOrMain_keyResp.started,pracOrMain_keyResp.stopped,taskName_2.started,taskName_2.stopped,task_Text_2.started,task_Text_2.stopped,task_text_3.started,task_text_3.stopped,task_text_4.started,task_text_4.stopped,LeftReminder_text_5.started,LeftReminder_text_5.stopped,rightReminder_text_5.started,rightReminder_text_5.stopped,pracOrMain_keyResp_3.keys,pracOrMain_keyResp_3.rt,pracOrMain_keyResp_3.started,pracOrMain_keyResp_3.stopped,RSI,LeftReminder_text_3.started,LeftReminder_text_3.stopped,rightReminder_text_3.started,rightReminder_text_3.stopped,cuePresented.started,cuePresented.stopped,ISI,corrAns,LeftReminder_text_4.started,LeftReminder_text_4.stopped,rightReminder_text_4.started,rightReminder_text_4.stopped,centerPresented.started,centerPresented.stopped,topPresented.started,topPresented.stopped,rightPresented.started,rightPresented.stopped,bottomPresented.started,bottomPresented.stopped,leftPresented.started,leftPresented.stopped,keyResp.keys,keyResp.corr,keyResp.started,keyResp.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,keyResp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.153944900026545,None,9.153944900026545,None,9.153944900026545,None,9.153944900026545,None,9.153944900026545,None,9.153944900026545,None,space,0.16574200009927154,9.153944900026545,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.153944900026545,None,9.34422990004532,None,9.34422990004532,None,9.34422990004532,None,9.34422990004532,None,9.34422990004532,None,9.34422990004532,None,space,0.5567491000983864,9.34422990004532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.34422990004532,None,9.915939999977127,None,9.915939999977127,None,space,0.416145300026983,9.915939999977127,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face3M1_Fa.xlsx,COLOR,,,,,,,,,,,0,0,0,0,0,0,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.423641599947587,None,10.423641599947587,None,10.423641599947587,None,10.423641599947587,None,10.423641599947587,None,10.423641599947587,None,10.423641599947587,None,space,0.1932707999367267,10.423641599947587,None,10.66406140010804,None,10.66406140010804,None,10.66406140010804,None,10.66406140010804,None,10.66406140010804,None,10.66406140010804,None,m,1.263028700137511,10.66406140010804,None,1.1643286573146292,11.961394000099972,None,11.961394000099972,None,13.121560900006443,14.12553930003196,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face3M1_Fa.xlsx,,images/3M1_Fa_BS.jpg,images/3M1_Fa_BS.jpg,0,0,1,1,3,1,1,0,0,0,0,0,0,0,0,4,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3006012024048095,z,14.19097420014441,None,14.19097420014441,None,15.490742400055751,16.499256999930367,15.490742400055751,16.499256999930367,15.490742400055751,16.499256999930367,15.490742400055751,16.499256999930367,15.490742400055751,16.499256999930367,None,0,15.490742400055751,None,,,,,,,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face3M1_Fa.xlsx,,,,,,,,,,,,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face1F1_Sc.xlsx,COLOR,,,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0981963927855711,17.050395800033584,None,17.050395800033584,None,18.140566000016406,19.143418200081214,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face1F1_Sc.xlsx,,images/1F1_Sc_BD.jpg,images/1F1_Sc_BS.jpg,45,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1072144288577153,z,19.21436750004068,None,19.21436750004068,None,20.320653000148013,None,20.320653000148013,None,20.320653000148013,None,20.320653000148013,None,20.320653000148013,None,m,0,20.320653000148013,None,,,,,,0.8025220001582056,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face1F1_Sc.xlsx,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face2M1_Fa.xlsx,COLOR,,,,,,,,,,,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2975951903807617,21.163440499920398,None,21.163440499920398,None,22.457849300000817,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face2M1_Fa.xlsx,,images/2M1_Fa_OD.jpg,images/2M1_Fa_OS.jpg,45,0,0,0,2,1,1,0,0,0,0,0,0,2,2,2,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1022044088176353,m,23.51913299993612,None,23.51913299993612,None,24.62351580010727,25.631326399976388,24.62351580010727,25.631326399976388,24.62351580010727,25.631326399976388,24.62351580010727,25.631326399976388,24.62351580010727,25.631326399976388,m,1,24.62351580010727,None,,,,,,1.0814046000596136,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face2M1_Fa.xlsx,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face3M1_Sc.xlsx,COLOR,,,,,,,,,,,0,0,0,0,0,3,3,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3977955911823647,25.747797100106254,None,25.747797100106254,None,27.137061499990523,28.142767100129277,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face3M1_Sc.xlsx,,images/3M1_Sc_OS.jpg,images/3M1_Sc_OS.jpg,0,0,0,0,3,1,1,1,0,0,0,0,0,3,3,5,,,,,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0611222444889779,m,28.213958099950105,None,28.213958099950105,None,29.27663949993439,None,29.27663949993439,None,29.27663949993439,None,29.27663949993439,None,29.27663949993439,None,m,1,29.27663949993439,None,,,,,,0.529363099951297,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face3M1_Sc.xlsx,,,,,,,,,,,,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face1F1_Fa.xlsx,COLOR,,,,,,,,,,,0,0,0,0,0,4,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1743486973947894,29.84828249993734,None,29.84828249993734,None,31.01870040013455,32.02109539997764,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face1F1_Fa.xlsx,,images/1F1_Fa_BS.jpg,images/1F1_Fa_BS.jpg,0,0,1,1,1,0,1,0,0,0,0,0,0,4,4,0,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4859719438877754,z,32.08387339999899,None,32.08387339999899,None,33.570095600094646,None,33.570095600094646,None,33.570095600094646,None,33.570095600094646,None,33.570095600094646,None,m,0,33.570095600094646,None,,,,,,0.9239609998185188,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face1F1_Fa.xlsx,,,,,,,,,,,,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face2M1_Sc.xlsx,COLOR,,,,,,,,,,,0,0,0,0,0,5,5,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4939879759519037,34.53739139996469,None,34.53739139996469,None,36.027447999920696,37.02994840010069,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face2M1_Sc.xlsx,,images/2M1_Sc_OS.jpg,images/2M1_Sc_BD.jpg,0,45,0,1,2,1,1,1,0,0,0,0,0,5,5,3,,,,,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1332665330661322,m,37.09253100003116,None,37.09253100003116,None,38.22411089995876,None,38.22411089995876,None,38.22411089995876,None,38.22411089995876,None,38.22411089995876,None,m,1,38.22411089995876,None,,,,,,0.7170235998928547,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face2M1_Sc.xlsx,,,,,,,,,,,,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face4F1_Fa.xlsx,COLOR,,,,,,,,,,,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1743486973947894,38.98384110000916,None,38.98384110000916,None,40.15121400007047,41.15431350003928,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face4F1_Fa.xlsx,,images/4F1_Fa_OS.jpg,images/4F1_Fa_OD.jpg,0,45,0,0,4,0,1,0,0,0,0,0,0,6,6,6,,,,,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1733466933867736,m,41.2264056999702,None,41.2264056999702,None,42.40236790012568,None,42.40236790012568,None,42.40236790012568,None,42.40236790012568,None,42.40236790012568,None,m,1,42.40236790012568,None,,,,,,0.30359849985688925,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face4F1_Fa.xlsx,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face4F1_Sc.xlsx,COLOR,,,,,,,,,,,0,0,0,0,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2134268537074149,42.75649260007776,None,42.75649260007776,None,43.96839990001172,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face4F1_Sc.xlsx,,images/4F1_Sc_OD.jpg,images/4F1_Sc_BD.jpg,45,45,0,1,4,0,1,1,0,0,0,0,0,7,7,7,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3647294589178356,m,45.026826800080016,None,45.026826800080016,None,46.39440410002135,47.401127899996936,46.39440410002135,47.401127899996936,46.39440410002135,47.401127899996936,46.39440410002135,47.401127899996936,46.39440410002135,47.401127899996936,m,1,46.39440410002135,None,,,,,,1.0365985000971705,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
color.xlsx,1,1,COLOR Game Practice,"



In this game, you have to focus on the COLOR of the center image

Press the Z key with your left index finger, if:

Press the M key with your right index finger, if:


Labels in the lower-left and lower-right of the screen will remind you
which hand to use for which COLOR. Ignore the shape words for now.","






The word COLOR will be presented before each
image to remind you what to do.",face4F1_Sc.xlsx,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,001,2022_Jan_31_1356,multiEF-Practice,2021.2.3,240.53957890770278,
